hnid,school,field_of_study,year
ChrisFinneral,University of Cambridge,Engineering,2009
ChrisGrouchy,Queen's University,Business,2016
ChrisMathew,University of Waterloo,Accounting,2020
ChrisMischler,CEMS,International Management,2009
ChrisMischler,University of St.Gallen,Banking And Finance,2009
ChrisRobilliard,Tecnológico de Monterrey,Industrial Engineering,2011
ChrisRobilliard,Tuck School of Business at Dartmouth,"Business Administration And Management, General",2012
ChrisRobilliard,Universidad de Lima,Industrial Engineering,2011
ChrisRobilliard,University Of Maryland,Entrepreneurship/entrepreneurial Studies,2015
ChristianKletzl,Fachhochschule Salzburg,Information Technology And Systems Management,2007
ChristianKletzl,Northwestern University,"Finance, Design And Operations, Entrepreneurship And Innovation",2013
Christian_Kohrs,European Business School Oestrich-Winkel,Bachelor Of Science In General Management,2017
Christian_Kohrs,Queen's University,Commerce,2016
Christian_Kohrs,WHU – Otto Beisheim School of Management,Entrepreneurship,2020
Christina_Czap,University of Nevada-Las Vegas,Marketing,2006
ChristophLynen,Free Code Camp,Computer Software Engineering,2017
ChristophLynen,Maastricht University,Cognitive Neuroscience,2014
ChristophLynen,Universiteit Maastricht,Psychologie,2012
Cixelyn,Massachusetts Institute of Technology,Bioengineering,2012
CloosivJames,The University of Texas at Austin,Minor Computer Science,2010
CloosivJames,The University of Texas at Dallas,Computer Science,2007
CodeJackalope,University of Wisconsin,"Computer Engineering, Computer Science",2006
ColinHayhurst,Durham University,Engineering And Management,1984
ColinHayhurst,Durham University,Engineering Science,1983
CollinSchneider,Springfield College,Finance,2015
Cooperedmunds,Duke University,"Computer Science, Philosophy",2022
Coryodaniel,University of South Florida,Management Information Systems,2005
Cosmas17,Winona State University,Biochemistry,2014
Cottinghamc,Duke University,Philosophy,2006
Cottinghamc,Kenyon College,Classics,2007
Cottinghamc,University of San Francisco School of Law,Law,2011
CrisFeo,University of Pennsylvania,Computer Science,2013
CritterChemist,Royal Veterinary College of London,Veterinary Medicine And Comparative Pathology,2020
Crobby,Escuela Superior Politécnica del Litoral,Ingeniería De Software,2017
CrunchyJams,Cornell University,"Hotel Administration, Finance",2009
CubeRoot27,King Fahd University of Petroleum and Minerals (KFUPM),Software Engineering,2016
CyberScott90210,The University of British Columbia,Engineering Physics,1989
Cyleux,Northeastern University,Computer Science And Ai,2022
DHaldane,Florida State University,Mechanical Engineering,2011
DHaldane,"University of California, Berkeley",Mechanical Engineering,2017
DKuhn,Technisches Gymnasium Völklingen,Abitur,2007
DKuhn,Universität des Saarlandes,Computer Science,2016
DRC9702,Columbia University,Computer Science,2018
DRC9702,Knox College,Mathematics And Computer Science,2016
Dainis_Kruze,Latvijas Universitate,Computer Software Engineering,2005
Dan_afo,"Obafemi Awolowo University,Ile-Ife",Medicine And Surgery,2015
Danay,HAIFA UNIVERSITY,"Economics, Political Science, Shipping",2010
Danay,Massachusetts Institute of Technology,Entrepreneurship And Innovation,2015
DanenPool,Coe College,Biochemistry / Molecular Biology / Pre,2011
DanenPool,Indian Hills Community College,Biology / Biological Sciences,2008
DanielBaum,Queen's University,Law,2019
DanielBaum,Smith School of Business at Queen's University,Commerce,2018
DanielLiecht,Bar-Ilan University,Financial Mathematics,2015
DanielLiecht,Technion - Israel Institute of Technology,Economics And Management,2011
Danielbilbao,Tuck School of Business at Dartmouth,Business,2013
Danielbilbao,Universidad de Los Andes,Electronic Engineering,2007
Danielbilbao,Y Combinator,Yc Winter 19,2019
Darrelladjei,Imperial College London,Computer Science,2018
Darrelladjei,Imperial College London,Theoretical Physics,2017
DashaLine,Georgetown University,"Finance And International Business, Russian Studies Certificate",2008
Datkiri,V. N. Karazin Kharkiv National University,Computer Science,2012
DaveSalvant,University at Albany,Political Science,2008
DaveSalvant,University of Wisconsin,"Corporate Finance, Investment Banking",2015
Daverino,ETH Zurich,Computer Science,2023
DavidCWhite,Concordia University,Entrepreneurship / Biotech,2020
DavidCWhite,McGill University,Biochemistry,2006
DavidCWhite,Université de Montréal,Molecular Biology,2014
DavidFerris,University of Waterloo,Mechatronics Engineering,2019
DavidPBL,University of Nottingham,Synthetic Biology,2019
DavidPBL,University of Western Ontario,Biochemistry,2011
Daviddan10,Davidson College,Mathematics And Economics,2019
Daviddan10,Tampa Preparatory School,General Education,2015
Debkishore,Apeejay School,Science,2004
Debkishore,IIT Kharagpur,Biotechnology And Biochemical Engineering,2008
Debkishore,"University of California, Berkeley",Bioengineering,2013
DeepakVS,SRM University,Mechatronics Engineering,2018
DeepsR,AGSM @ UNSW Business School,Marketing And Strategy,2004
DeepsR,NYU Stern School of Business,Exhange Program From Agsm,2004
DeepsR,University of Sydney,Electrical And Computer Science,1995
DeepsR,"University of Technology, Sydney",General,1998
DenisB,Université de Sherbrooke,Computer Engineering,2009
Detmer,Pontificia Universidad Católica de Chile,Business,2009
Dgomezc,Georg-August-Universität Göttingen,Economics,2011
Dgomezc,IÉSEG School of Management,Big Data Analytics,2016
Dgomezc,Pontificia Universidad Javeriana,Economics,2012
Dgomezc,Universidad Pontificia Bolivariana,Project Management,2015
DiandreRuiz,Temple University College of Engineering,Computer Science,2018
Dice2423,University of Michigan,Liberal Arts And Sciences/liberal Studies,2009
DiederikVink,Imperial College London,Ai And Hardware,2023
DiederikVink,Imperial College London,Electronic And Informations Engineering,2018
Digitaltzar,Georgetown University,"Business, Foreign Service",2014
Divish,IIT Delhi,Electrical Engineering,2015
DjMojoRisin,Carnegie Mellon University,Information Systems,2006
DmitryKazhdan,University of Cambridge,Computer Science,2019
DmitryKazhdan,University of Cambridge,Explainable Artificial Intelligence,2021
Dmrogen,Kansas State University,Marketing,2011
DoKyungLee,Cornell University,Business Administration,2016
DominikT,TU Dortmund University,Computer Science,2012
Dr_DonDon,Northeastern University,Network Science,2016
Dr_DonDon,University of New South Wales,Applied Mathematics,2016
Dropezy,Jakarta International School,High School,2010
Dropezy,Singapore Institute of Management,Business Administration And Management,2014
Dropezy,Singapore Institute of Management,Management Studies,2011
Dspinozzi,University of Wyoming,Finance,2017
Dsumarli,London Business School,Business Administration,2015
Dsumarli,UCLA Anderson School of Management,Business Administration,2016
Dsumarli,"University of California, Los Angeles",Chemical Engineering,2010
Dylan102938,"University of California, Berkeley",Computer Science,2022
EMDR-VR,Maastricht University,Msc Work And Organizational Psychology,2014
EMDR-VR,Maastricht University,Neuropsychology,2010
EMDR-VR,RINO Zuid,Counsellor Mental Health,2017
EMDR-VR,Tallinn University of Technology,Summerschool,2009
ENadyr,The University of Manchester,Computer Science,2006
EVERROCKET,Carnegie Mellon University,Human Computer Interaction,2017
EVERROCKET,Huazhong University of Science and Technology,Digital Media Technology,2016
Echin6,Yale University,Economics And Mathematics,2003
EdHarris,University of Oxford,Medical Sciences,2024
EdXengine,St.Josephs college of engineering,Mechanical Engineering,2011
EdXengine,University of Wisconsin-Madison,Mechanical Engineering,2013
Edeno,Dawson College,Pure And Applied Sciences,2017
Edeno,McGill University,Software Engineering,2021
EdmondYue,University of Waterloo,Computer Engineering,2005
Eduardo2009mata,ITAM,Lawyer,2017
Eduardoakil,Autonomous University of Barcelona,Environmental Economics,2017
Eduardoakil,Autonomous University of Zacatecas,Environmental Economics,2016
Eduardoakil,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY (ITESM),Finance,2017
Edvard,Akademia Medyczna w Warszawie,Medicine,2010
EeshaSharma,Stanford University,Genetics,2020
EeshaSharma,University of Toronto,Molecular Genetics,2018
Egeozin,Istanbul Technical University,Architecture,2010
Egeozin,Massachusetts Institute of Technology,Design And Computation,2017
ElenaPonte,University of Washington,Intellectual Property With Focus In Ai,2019
ElhamIslam,University of Michigan,Computer Engineering,2024
ElliP,University of Glasgow,Human Genetics,2004
ElliP,University of London,Cancer And Population Genomics,2008
EloaGuillotin,Ecole polytechnique,Master Innovation Technologique Et Entrepreneuriat,2019
EloaGuillotin,HEC Paris,Msc X,2020
EloaGuillotin,ISAE-SUPAERO,"Aeronautique Et Spatiale, Science And Technology",2020
EloaGuillotin,Lycée Pierre de Fermat,Cpge Preparatory Classes,2016
EloaGuillotin,"University of California, Berkeley",Learn2launch,2020
EmilianoSegura,UTN - FRC,Industrial Engineer,2019
Emilycorgi,Stanford University,Computer Science,2021
EmmanuelAina,South American University,Computer Science,2018
EndpointVC,Cornell University - Johnson Graduate School of Management,Entrepreneurship And Private Equity,2009
Enerjazz1,Carl von Ossietzky Universität Oldenburg,Electrochemistry,2016
Enerjazz1,University of Erlangen-Nuremberg,Advanced Materials And Process,2012
Enerjazz1,Visvesvaraya National Institute of Technology,Metallurgical And Materials Engineering,2009
EngineerA314,Seoul National University,Computer Science,2018
Entocycle,Oxford Brookes University,Environmental Design And Conservation,2006
Entocycle,The University of Manchester,Urban Regeneration And Development,2009
EntrepreNour,Noureddine Lakehal,Entrepreneurship/entrepreneurial Studies,2005
EricHerrera2021,Washington and Lee University,Neuroscience,2020
ErinFrey93,Dartmouth College,Neuroscience,2015
ErinFrey93,London Business School,"Business, Entrepreneurship And Innovation",2023
ErinFrey93,Yale School of Management,"Business, Entrepreneurship And Innovation",2022
ErnestAV,Brigham Young University,Computer Science,2024
Etai,Lazaridis School of Business & Economics at Wilfrid Laurier University,"Business Administration And Management, General",2019
Etienn_Moneytis,Institut national des Sciences appliquées de Lyon,Information Technology,2011
Evya,The Hebrew University of Jerusalem,Law And Cognitive Science,2018
Exception-ALLY,Florida Agricultural and Mechanical University,Chemical Engineering,1998
Exception-ALLY,Harvard Business School,Business Administration And Management,2003
FSchmidberger,Hasso Plattner Institute,It-systems Engineering,2021
FSchmidberger,San Jose State University,"Entrepreneurship, Software Engineering",2019
FSchmidberger,University of Stuttgart,Software Engineering,2020
FabiFroehlich,Ludwig Maximilian University of Munich,Business Administration,2019
FabiFroehlich,Technical University Munich,Management And Computer Science,2021
Faloon,Stevens Institute of Technology,Financial Engineering,2010
FawzyAbuSeif,Harvard Business School Executive Education,Scaling Entrepreneurial Ventures,2017
FawzyAbuSeif,Modern Science and Arts University,Industrial Engineering,2002
Fcoco,Universidad 'Santa María',Comunicación Empresarial,2014
Felipe_Urzua,Universidad Adolfo Ibañez,Entrepreneurship And Innovation,2015
Felipese,Universidade de Brasília,Bachelor Of Business Administration,2011
Fergi,"College of International Studies, Madrid, Spain","Spanish Language, History, And Literature",2002
Fergi,"Universidad de Belgrano, Buenos Aires, Argentina","Spanish Language, Argentine History And Culture",2007
Fergi,"University of California, Santa Barbara","Global Studies, Emphasis In Socioeconomics And Politics",2008
FilipRakowski,Politechnika Wrocławska / Wroclaw University of Technology,Informatyka,2018
FilipRakowski,Y Combinator,W21 Batch,2021
Finnu,Le Wagon,Coding Bootcamp,2018
Finnu,Université Paris Dauphine,Entrepreneurship,2007
Fission,Stanford University,Biology,2018
FloFincke,Center for Digital Technology and Management,Technology Management,2018
FloFincke,Ludwig Maximilian University of Munich,Human Computer Interaction,2020
